title,date,victim,malware_names,threat,impacts,location,data_source_link_url
Millions of Yodel Customers in UK Face Parcel Delivery Delays,06/22/2022,Yodel,,,OT,United Kingdom,https://icsstrive.com/incident/millions-of-yodel-customers-in-uk-face-parcel-delivery-delays/
Indian Flood Monitoring System Targeted by Hackers,06/21/2022,"Water Resource Department (WRD), Goa, India",,,OT IT,India,https://icsstrive.com/incident/indian-flood-monitoring-system-targeted-by-hackers/
Attempted Cyberattacks at Nuclear Research Laboratories in US in Summer ’22.,06/21/2022,"Lawrence Livermore National Laboratory – LLNL, Brookhaven National Laboratory – BNL, Argonne National Laboratory -ANL",,Cold River,IT,United States,https://icsstrive.com/incident/attempted-cyberattack-at-nuclear-research-laboratories-in-us-in-summer-22/
Cyber Attack at Entrust Security Provider,06/18/2022,Entrust,,LockBit,IT,United States,https://icsstrive.com/incident/cyber-attack-at-entrust-security-provider/
Nichirin-Flex U.S.A Hit in Ransomware Attack,06/14/2022,"Nichirin-Flex U.S.A, U.S. unit of Nichirin Co.",,,OT IT,United States,https://icsstrive.com/incident/nichirin-flex-u-s-a-hit-in-ransomware-attack/
Energy Supplier Entega’s Customer Data Posted on the Dark Web after Ultimatum Expired,06/12/2022,Entega AG,,BlackCat / ALPHV,IT  Privacy,Germany,https://icsstrive.com/incident/energy-supplier-entegas-customer-data-posted-on-the-dark-web-after-ultimatum-expired/
"Over 2,5 Million Individuals Impacted by System Breach at Federal Student Loan Services Provider.",06/12/2022,Nelnet Servicing,,,IT,United States,https://icsstrive.com/incident/over-25-million-individuals-impacted-by-system-breach-at-federal-student-loan-services-provider/
RansomHouse Gang Claims Attack on Largest Supermarket Chain in Africa,06/10/2022,Shoprite,,RansomHouse Extortion Group,IT,South Africa,https://icsstrive.com/incident/ransomhouse-gang-claims-attack-on-shoprite-the-largest-supermarket-chain-in-africa/
Foxconn Hit in Ransomware Attack for Second Time,05/31/2022,Foxconn,LockBit,LockBit,OT IT,Mexico,https://icsstrive.com/incident/foxconn-hit-in-ransomware-attack-for-second-time/
AlphV Ransomware Gang attacks Canadian Defense Contractor,05/31/2022,CMC Electronics,,BlackCat / ALPHV,OT,Canada,https://icsstrive.com/incident/alphv-ransomware-gang-attacks-canadian-defense-contractor/
SpiceJet’s (Low Cost Airline in India) Systems and Operations impacted by Ransomware Attack,05/24/2022,"Spicejet,",,,OT IT,India,https://icsstrive.com/incident/spicejets-low-cost-airline-in-india-systems-and-operations-impacted-by-ransomware-attack/
"Cisco Hit in Cyber Attack, Data Taken",05/24/2022,Cisco,,Yanluowang ransomware group,IT,United States,https://icsstrive.com/incident/cisco-hit-in-cyber-attack-data-taken/
City of Tucson Discloses Data Breach Exposing 123K Individuals,05/17/2022,City of Tucson,,,IT,United States,https://icsstrive.com/incident/city-of-tucson-discloses-data-breach-exposing-123k-individuals/
Nikkei’s Singapore Publishing Unit Hit by Ransomware,05/13/2022,Nikkei’s Singapore publishing unit,,,IT,Singapore,https://icsstrive.com/incident/nikkeis-singapore-publishing-unit-hit-by-ransomware/
Ransomware Attack at AGCO,05/05/2022,AGCO,,,OT,United States,https://icsstrive.com/incident/ransomware-attack-at-agco/
Kellogg Community College Open after Attack,04/29/2022,Kellogg Community College,,,,United States,https://icsstrive.com/incident/kellogg-community-college-open-after-attack/
Coca-Cola Hit in Cyberattack,04/24/2022,Coca-Cola,,Stormous ransomware group,IT,United States,https://icsstrive.com/incident/coca-cola-hit-in-cyberattack/
Theft of Member Data Reported in ADA Ransomware Attack,04/22/2022,American Dental Association [ADA],,Black Basta Group,IT  Privacy,United States,https://icsstrive.com/incident/theft-of-member-data-reported-in-ada-ransomware-attack/
Iranian Oil Terminals Offline after Malware Attack,04/22/2022,"Kharg Island, Iranian Oil Terminal",Flame,,OT IT,Iran,https://icsstrive.com/incident/iranian-oil-terminals-offline-after-malware-attack/
Unidentified Automotive Supplier Breached Three Times within Two Months,04/20/2022,Unidentified,,"LockBit, Hive Ransomware Group, BlackCat / ALPHV",IT,,https://icsstrive.com/incident/unidentified-automotive-supplier-breached-three-time-within-two-months/
Check-in Systems Offline for Days at Sunwing Airlines,04/19/2022,Sunwing Airlines Inc.,,,OT,Canada,https://icsstrive.com/incident/check-in-systems-offline-for-days-at-sunwing-airlines/
Ransomware Attack at Germany’s Largest Library Services Deletes Media Files,04/18/2022,"Onleihe Library, EKZ Bibliotheksservice",Ransomware – unknown,LockBit,IT,Germany,https://icsstrive.com/incident/ransomware-attack-at-germanys-largest-library-services-deletes-media-files/
"Snatch Claims it Breached Hemeria Group, partner of the French Space Agency CNES",04/18/2022,Hemeria Group,,Snatch ransomware group,IT,France,https://icsstrive.com/incident/snatch-claims-it-breached-hemeria-group-partner-of-the-french-space-agency-cnes/
Complete State Postal System Outage in Bulgaria,04/16/2022,Bulgarian State Post Office,,,OT IT,Bulgaria,https://icsstrive.com/incident/complete-state-postal-system-outage-in-bulgaria/
Sferra Fine Linens Hit in Cyberattack,04/14/2022,Sferra Fine Linens LLC,,,IT,United States,https://icsstrive.com/incident/sferra-fine-linens-hit-in-cyberattack/
26 Healthcare Organizations Impacted by Cyberattack on NY Medical Billing Company.,04/12/2022,"Practice Resources, LLC (PRL)",,,IT  Privacy,United States,https://icsstrive.com/incident/26-healthcare-organizations-impacted-by-cyberattack-on-ny-medical-billing-company/
Costa Rica Declares National Emergency in Response to Ransomware Attack,04/11/2022,Costa Rica,Conti Ransomware,,IT,Costa Rica,https://icsstrive.com/incident/costa-rica-declares-national-emergency-in-response-to-ransomware-attack/
Systems at German Wind Turbine Servicing company Windtechnik Targeted,04/11/2022,Deutsche Windtechnik,,Black Basta Group,IT,Germany,https://icsstrive.com/incident/systems-at-german-wind-turbine-servicing-company-windtechnik-targeted/
Oil India Ltd. Hackers Demand US$7.5M Ransom Payment,04/10/2022,Oil India,Ransomware – unknown,,IT,India,https://icsstrive.com/incident/oil-india-ltd-hackers-demand-us7-5m-ransom-payment/
"Kaiser Permanente Hit in Attack; 70,000 Records Exposed",04/05/2022,Kaiser Permanente,,,IT,United States,https://icsstrive.com/incident/4684/
German Wind Turbine Maker Hit in Cyberattack,03/31/2022,Nordex,Conti Ransomware,,IT,Germany,https://icsstrive.com/incident/german-wind-turbine-maker-hit-in-cyberattack/
Globant IT and Software Consultancy Stolen Data Leaked by Lapsus$ Extortion Group,03/29/2022,Globant,,Lapsus$,IT,"Argentina, Luxembourg",https://icsstrive.com/incident/globant-it-and-software-consultancy-stolen-data-leaked-by-lapsus-extortion-group/
Russian Federal Air Transport Association Forced to Resort to Manual Operations after Cyberattack,03/28/2022,Rosaviatsiya – Russian Federal Air Transport Agency,,,OT IT,Russia,https://icsstrive.com/incident/russian-federal-air-transport-association-forced-to-resort-to-manual-operations-after-cyberattack/
"Cyberattack at MCG Health Affected over 1.1M Patient Records, Lawsuits Filed.",03/25/2022,MCG Health,,,IT,United States,https://icsstrive.com/incident/cyberattack-at-mcg-health-affected-over-1-1m-patient-records-lawsuits-filed/
Operational Impact After Cyberattack at Tavr Food Processing Group in Russia,03/24/2022,Tavr corporate group,,,OT IT,Russia,https://icsstrive.com/incident/operational-impact-after-cyberattack-at-tavr-food-processing-group-in-russia/
Largest Crypto Hack against a Decentralized Finance Network Hit Ronin Network (RON) Blockchain Network.,03/23/2022,Sky Mavis,,Lazarus,IT,,https://icsstrive.com/incident/largest-crypto-hack-against-a-decentralized-finance-network-hit-ronin-network-ron-blockchain-network/
Ransomware Attack Paralyses Greek Postal Services,03/20/2022,Greece – Postal Services,,,OT IT,Greece,https://icsstrive.com/incident/ransomware-attack-paralyses-greek-postal-services/
Ransomware Attack Halts Public Postal Services in Greece,03/20/2022,"Hellenic Post, ELTA",,,IT,Greece,https://icsstrive.com/incident/ransomware-attack-halts-public-postal-services-in-greece/
Russia’s Largest Meat Producer Hacked with Bitlocker Ransomware,03/18/2022,Miratorg Agribusiness Holding,Bitlocker Ransomware,,OT IT,Russia,https://icsstrive.com/incident/russias-largest-meat-producer-hacked-with-bitlocker-ransomware/
"A Year After Devastating Ransomware Attack, Electric Utility Company NV GEBE is Still Recovering",03/16/2022,N.V. GEBE,,BlackByte,IT,St. Maarten,https://icsstrive.com/incident/a-year-after-devastating-ransomware-attack-electric-utility-company-nv-gebe-is-still-recovering/
Wabtec Discloses Data Breach Took Place less than a Year Ago,03/15/2022,Wabtec,,LockBit,IT,United States,https://icsstrive.com/incident/wabtec-discloses-data-breach-took-place-less-than-a-year-ago/
Large Data Breach at Iberdrola Energy Company affects 1.3 Million Customers,03/15/2022,Iberdrola,,,IT  Privacy,Spain,https://icsstrive.com/incident/large-data-breach-at-iberdrola-energy-company-affects-1-3-million-customers/
German Subsidiary Of Russia’s Rosneft Hacked,03/11/2022,Rosneft,NotPetya,Anonymous,IT,Germany,https://icsstrive.com/incident/german-subsidiary-of-russias-rosneft-hacked/
Parker-Hannifin Hit in Breach,03/11/2022,Parker-Hannifin,,,IT,United States,https://icsstrive.com/incident/parker-hannifin-hit-in-breach/
Dairy Plant Operations Offline; No Milk at Schools in New England,03/11/2022,HP Hood LLC,,,OT IT,United States,https://icsstrive.com/incident/dairy-plant-operations-offline-no-milk-at-schools-in-new-england/
Auto Parts Supplier Denso Suffers Ransomware Attack,03/10/2022,Denso,,Pandora,IT,Germany,https://icsstrive.com/incident/auto-parts-supplier-suffers-ransomware-attack/
Cyberattack at Shields Healthcare Group Compromises Personal Medical Data of Millions of Patients,03/07/2022,Shields Healthcare Group,,,IT  Privacy,United States,https://icsstrive.com/incident/cyberattack-at-shields-healthcare-group-compromises-personal-medical-data/
Romanian Gas Stations Affected by Suspected Ransomware Attack.,03/07/2022,Rompetrol,,Hive Ransomware Group,IT,Romania,https://icsstrive.com/incident/romanian-gas-stations-affected-by-suspected-ransomware-attack/
Samsung Hit in Cyberattack,03/05/2022,Samsung,,Lapsus$,IT,South Korea,https://icsstrive.com/incident/samsung-hit-in-cyberattack/
Ransomware Hits Snap-On Tool Maker,03/01/2022,Snap-on,Conti Ransomware,,IT,United States,https://icsstrive.com/incident/ransomware-hits-snap-on-tool-maker/
"Kojima Industries, a Toyota Supplier, Suffers Cyberattack",02/28/2022,Kojima Industries,,,OT IT,Japan,https://icsstrive.com/incident/kojima-industries-a-toyota-supplier-suffers-cyberattack/
Russian Electric Vehicle Chargers Hacked on M11 Highway as Political Protest,02/28/2022,Russian energy company Rosseti,,,IT,Russia,https://icsstrive.com/incident/russian-electric-vehicle-chargers-hacked-on-m11-highway-as-political-protest/
Tire Manufacturer Bridgestone Hit in Ransomware Attack,02/27/2022,Bridgestone,,LockBit,OT IT,United States,https://icsstrive.com/incident/tire-manufacturer-bridgestone-hit-in-ransomware-attack/
Hackers Changed Temperature Settings at Frozen Food Facility in Russia,02/26/2022,Selyatino Agrohub,,Anonymous,OT IT,Russia,https://icsstrive.com/incident/hackers-changed-temperature-settings-at-frozen-food-facility-in-russia/
Novartis claims no sensitive data breach in latest cyberattack by Industrial Spy.,02/25/2022,Novartis,,Industrial Spy,IT,"Switzerland, United States",https://icsstrive.com/incident/novartis-claims-no-sensitive-data-breach-in-latest-cyberattack-by-industrial-spy/
German Wind Turbine Maker Enercon’s Services 90% Restored,02/24/2022,Enercon,,,IT,Germany,https://icsstrive.com/incident/german-wind-turbine-maker-enercons-services-90-restored/
Update on Viasat Cyberattack,02/24/2022,Viasat,,,IT,United States,https://icsstrive.com/incident/update-on-viasat-cyberattack/
Attack on Satellite Firm Viasat Interrupted Wind Power Generation Systems,02/24/2022,"Satellite firm Viasat, Enecron",,,IT,"Germany, United States",https://icsstrive.com/incident/attack-on-satellite-firm-viasat-interrupted-wind-power-generation-systems/
Cyberattack Significantly Reduced Caledonian Modular’s Operating Capability,02/24/2022,JRL Modular – formerly Caledonian Modular,,,IT,United Kingdom,https://icsstrive.com/incident/cyberattack-significantly-reduced-caledonian-modulars-operating-capability/
Nvidia Suffers Cyberattack,02/23/2022,Nvidia,,Lapsus$,IT,United States,https://icsstrive.com/incident/nvidia-suffers-cyberattack/
Ransomware Attack Cripples Indian Port Container Terminal JNCPT,02/21/2022,Jawaharlal Nehru Port Container Terminal (JNPCT – JNPT),,,IT,India,https://icsstrive.com/incident/ransomware-attack-cripples-indian-port-container-terminal-jncpt/
"Global Freight Forwarding Company, Expeditors Intl., hit by Ransomware Attack.",02/20/2022,Expeditors International,Ransomware – unknown,,IT,United States,https://icsstrive.com/incident/expeditors-intl-hit-by-ransomware-attack/
Axis Communications Hit in Cyberattack,02/19/2022,Axis Communications,,,OT IT,Sweden,https://icsstrive.com/incident/axis-communications-hit-in-cyberattack/
German Pump Manufacturer Down for 7 Days after Cyberattack,02/17/2022,Kracht GmbH,,,IT,Germany,https://icsstrive.com/incident/german-pump-manufacturer-down-for-7-days-after-cyberattack/
Ransomware Hits 49ers Football Team,02/13/2022,San Francisco 49ers Football Team,BlackByte,BlackByte,IT,United States,https://icsstrive.com/incident/ransomware-hits-49ers-football-team/
Overly Delayed Disclosure of Ransomware Attack  at Australian Clinical Labs,02/12/2022,Australian Clinical Labs (ACL),Quantum Ransomware,,IT,Australia,https://icsstrive.com/incident/overly-delayed-disclosure-of-ransomware-attack-at-australian-clinical-labs/
Cyberattack Cuts Service for Vodafone Portugal,02/07/2022,Vodafone Portugal,,,OT IT,Portugal,https://icsstrive.com/incident/cyberattack-cuts-service-for-vodafone-portugal/
Ransomware Attack halts Operations at Mizuno Sports Brand.,02/04/2022,Mizuno,,,OT IT,United States,https://icsstrive.com/incident/ransomware-attack-halts-operations-at-mizuno-sports-brand/
Ransomware Attack at Swiss Airport Services Firm,02/03/2022,Swissport,"Ranwomare attack, BlackCat",BlackCat / ALPHV,OT IT,Switzerland,https://icsstrive.com/incident/ransomware-attack-at-swiss-airport-services-firm/
"Malta Oil Terminal, run by Evos, One of Several European Facilities Hit by a Cyberattack",02/03/2022,Evos,,,IT,"Belgium, Malta, Netherlands",https://icsstrive.com/incident/malta-oil-terminal-run-by-evos-one-of-several-european-facilities-hit-by-a-cyberattack/
German Oil Tank Farm Shut Down,01/29/2022,"Oiltanking – subsidiary of Marquard & Bahls, Mabanaft – trading division of Marquard & Bahls.",,BlackCat / ALPHV,OT IT,Germany,https://icsstrive.com/incident/german-oil-tank-farm-shut-down/
UK Snack Provider Hit by Ransomware Attack,01/28/2022,Kenyon Produce (KP) Snacks,Conti Ransomware,Conti group,OT IT,United Kingdom,https://icsstrive.com/incident/uk-snack-provider-hit-by-ransomware-attack/
Oil Terminals In Europe Suffer Cyberattack,01/27/2022,SEA-Tank Terminal,,,OT IT,Belgium,https://icsstrive.com/incident/oil-terminals-in-europe-suffer-cyberattack/
